ID,FULL_NAME,FIRST_DEPTH_NAME,SECOND_DEPTH_NAME,THIRD_DEPTH_NAME,FOURTH_DEPTH_NAME
179,서울특별시 용산구 신창동,서울특별시,용산구,신창동,""
180,서울특별시 용산구 산천동,서울특별시,용산구,산천동,""
181,서울특별시 용산구 청암동,서울특별시,용산구,청암동,""
182,서울특별시 용산구 원효로3가,서울특별시,용산구,원효로3가,""
183,서울특별시 용산구 원효로4가,서울특별시,용산구,원효로4가,""
184,서울특별시 용산구 효창동,서울특별시,용산구,효창동,""
185,서울특별시 용산구 도원동,서울특별시,용산구,도원동,""
186,서울특별시 용산구 용문동,서울특별시,용산구,용문동,""
187,서울특별시 용산구 문배동,서울특별시,용산구,문배동,""
188,서울특별시 용산구 신계동,서울특별시,용산구,신계동,""
189,서울특별시 용산구 한강로1가,서울특별시,용산구,한강로1가,""
190,서울특별시 용산구 한강로2가,서울특별시,용산구,한강로2가,""
191,서울특별시 용산구 용산동3가,서울특별시,용산구,용산동3가,""
192,서울특별시 용산구 용산동5가,서울특별시,용산구,용산동5가,""
193,서울특별시 용산구 한강로3가,서울특별시,용산구,한강로3가,""
194,서울특별시 용산구 이촌동,서울특별시,용산구,이촌동,""
195,서울특별시 용산구 이태원동,서울특별시,용산구,이태원동,""
196,서울특별시 용산구 한남동,서울특별시,용산구,한남동,""
197,서울특별시 용산구 동빙고동,서울특별시,용산구,동빙고동,""
198,서울특별시 용산구 서빙고동,서울특별시,용산구,서빙고동,""
199,서울특별시 용산구 주성동,서울특별시,용산구,주성동,""
200,서울특별시 용산구 용산동6가,서울특별시,용산구,용산동6가,""
201,서울특별시 용산구 보광동,서울특별시,용산구,보광동,""
202,서울특별시 성동구,서울특별시,성동구,"",""
203,서울특별시 성동구 상왕십리동,서울특별시,성동구,상왕십리동,""
204,서울특별시 성동구 하왕십리동,서울특별시,성동구,하왕십리동,""
205,서울특별시 성동구 홍익동,서울특별시,성동구,홍익동,""
206,서울특별시 성동구 도선동,서울특별시,성동구,도선동,""
207,서울특별시 성동구 마장동,서울특별시,성동구,마장동,""
208,서울특별시 성동구 사근동,서울특별시,성동구,사근동,""
209,서울특별시 성동구 행당동,서울특별시,성동구,행당동,""
210,서울특별시 성동구 응봉동,서울특별시,성동구,응봉동,""
211,서울특별시 성동구 금호동1가,서울특별시,성동구,금호동1가,""
212,서울특별시 성동구 금호동2가,서울특별시,성동구,금호동2가,""
213,서울특별시 성동구 금호동3가,서울특별시,성동구,금호동3가,""
214,서울특별시 성동구 금호동4가,서울특별시,성동구,금호동4가,""
215,서울특별시 성동구 옥수동,서울특별시,성동구,옥수동,""
216,서울특별시 성동구 성수동1가,서울특별시,성동구,성수동1가,""
217,서울특별시 성동구 성수동2가,서울특별시,성동구,성수동2가,""
218,서울특별시 성동구 송정동,서울특별시,성동구,송정동,""
219,서울특별시 성동구 용답동,서울특별시,성동구,용답동,""
220,서울특별시 광진구,서울특별시,광진구,"",""
221,서울특별시 광진구 중곡동,서울특별시,광진구,중곡동,""
222,서울특별시 광진구 능동,서울특별시,광진구,능동,""
223,서울특별시 광진구 구의동,서울특별시,광진구,구의동,""
224,서울특별시 광진구 광장동,서울특별시,광진구,광장동,""
225,서울특별시 광진구 자양동,서울특별시,광진구,자양동,""
226,서울특별시 광진구 화양동,서울특별시,광진구,화양동,""
227,서울특별시 광진구 군자동,서울특별시,광진구,군자동,""
228,서울특별시 동대문구,서울특별시,동대문구,"",""
229,서울특별시 동대문구 신설동,서울특별시,동대문구,신설동,""
230,서울특별시 동대문구 용두동,서울특별시,동대문구,용두동,""
231,서울특별시 동대문구 제기동,서울특별시,동대문구,제기동,""
232,서울특별시 동대문구 전농동,서울특별시,동대문구,전농동,""
233,서울특별시 동대문구 답십리동,서울특별시,동대문구,답십리동,""
234,서울특별시 동대문구 장안동,서울특별시,동대문구,장안동,""
235,서울특별시 동대문구 청량리동,서울특별시,동대문구,청량리동,""
236,서울특별시 동대문구 회기동,서울특별시,동대문구,회기동,""
237,서울특별시 동대문구 휘경동,서울특별시,동대문구,휘경동,""
238,서울특별시 동대문구 이문동,서울특별시,동대문구,이문동,""
239,서울특별시 중랑구,서울특별시,중랑구,"",""
240,서울특별시 중랑구 면목동,서울특별시,중랑구,면목동,""
241,서울특별시 중랑구 상봉동,서울특별시,중랑구,상봉동,""
242,서울특별시 중랑구 중화동,서울특별시,중랑구,중화동,""
243,서울특별시 중랑구 묵동,서울특별시,중랑구,묵동,""
244,서울특별시 중랑구 망우동,서울특별시,중랑구,망우동,""
245,서울특별시 중랑구 신내동,서울특별시,중랑구,신내동,""
246,서울특별시 성북구,서울특별시,성북구,"",""
247,서울특별시 성북구 성북동,서울특별시,성북구,성북동,""
248,서울특별시 성북구 성북동1가,서울특별시,성북구,성북동1가,""
249,서울특별시 성북구 돈암동,서울특별시,성북구,돈암동,""
250,서울특별시 성북구 동소문동1가,서울특별시,성북구,동소문동1가,""
251,서울특별시 성북구 동소문동2가,서울특별시,성북구,동소문동2가,""
252,서울특별시 성북구 동소문동3가,서울특별시,성북구,동소문동3가,""
253,서울특별시 성북구 동소문동4가,서울특별시,성북구,동소문동4가,""
254,서울특별시 성북구 동소문동5가,서울특별시,성북구,동소문동5가,""
255,서울특별시 성북구 동소문동6가,서울특별시,성북구,동소문동6가,""
256,서울특별시 성북구 동소문동7가,서울특별시,성북구,동소문동7가,""
257,서울특별시 성북구 삼선동1가,서울특별시,성북구,삼선동1가,""
258,서울특별시 성북구 삼선동2가,서울특별시,성북구,삼선동2가,""
259,서울특별시 성북구 삼선동3가,서울특별시,성북구,삼선동3가,""
260,서울특별시 성북구 삼선동4가,서울특별시,성북구,삼선동4가,""
261,서울특별시 성북구 삼선동5가,서울특별시,성북구,삼선동5가,""
262,서울특별시 성북구 동선동1가,서울특별시,성북구,동선동1가,""
263,서울특별시 성북구 동선동2가,서울특별시,성북구,동선동2가,""
264,서울특별시 성북구 동선동3가,서울특별시,성북구,동선동3가,""
265,서울특별시 성북구 동선동4가,서울특별시,성북구,동선동4가,""
266,서울특별시 성북구 동선동5가,서울특별시,성북구,동선동5가,""
267,서울특별시 성북구 안암동1가,서울특별시,성북구,안암동1가,""
268,서울특별시 성북구 안암동2가,서울특별시,성북구,안암동2가,""
269,서울특별시 성북구 안암동3가,서울특별시,성북구,안암동3가,""
270,서울특별시 성북구 안암동4가,서울특별시,성북구,안암동4가,""
271,서울특별시 성북구 안암동5가,서울특별시,성북구,안암동5가,""
272,서울특별시 성북구 보문동4가,서울특별시,성북구,보문동4가,""
273,서울특별시 성북구 보문동5가,서울특별시,성북구,보문동5가,""
274,서울특별시 성북구 보문동6가,서울특별시,성북구,보문동6가,""
275,서울특별시 성북구 보문동7가,서울특별시,성북구,보문동7가,""
276,서울특별시 성북구 보문동1가,서울특별시,성북구,보문동1가,""
277,서울특별시 성북구 보문동2가,서울특별시,성북구,보문동2가,""
278,서울특별시 성북구 보문동3가,서울특별시,성북구,보문동3가,""
279,서울특별시 성북구 정릉동,서울특별시,성북구,정릉동,""
280,서울특별시 성북구 길음동,서울특별시,성북구,길음동,""
281,서울특별시 성북구 종암동,서울특별시,성북구,종암동,""
282,서울특별시 성북구 하월곡동,서울특별시,성북구,하월곡동,""
283,서울특별시 성북구 상월곡동,서울특별시,성북구,상월곡동,""
284,서울특별시 성북구 장위동,서울특별시,성북구,장위동,""
285,서울특별시 성북구 석관동,서울특별시,성북구,석관동,""
286,서울특별시 강북구,서울특별시,강북구,"",""
287,서울특별시 강북구 미아동,서울특별시,강북구,미아동,""
288,서울특별시 강북구 번동,서울특별시,강북구,번동,""
289,서울특별시 강북구 수유동,서울특별시,강북구,수유동,""
290,서울특별시 강북구 우이동,서울특별시,강북구,우이동,""
291,서울특별시 도봉구,서울특별시,도봉구,"",""
292,서울특별시 도봉구 쌍문동,서울특별시,도봉구,쌍문동,""
293,서울특별시 도봉구 방학동,서울특별시,도봉구,방학동,""
294,서울특별시 도봉구 창동,서울특별시,도봉구,창동,""
295,서울특별시 도봉구 도봉동,서울특별시,도봉구,도봉동,""
296,서울특별시 노원구,서울특별시,노원구,"",""
